Test, Algo, NodesExp, Shortest , Pass,,,,,,
63, BFS,86,15, passed,,,,,,
64, BFS,86,15, passed,,,,,,
65, BFS,86,15, passed,,,,,,
66, BFS,86,15, passed,,,,,,
67, BFS,86,15, passed,,,,,,
68, BFS,86,15, passed,,,,,,
69, BFS,86,15, passed,,,,,,
70, BFS,86,15, passed,,,,,,
71, BFS,86,15, passed,,,,,,
72, BFS,86,15, passed,,,,,,
73, BFS,86,15, passed,,,,,,
74, BFS,86,15, passed,,,,,,
75, BFS,86,15, passed,,,,,,
76, BFS,86,15, passed,,,,,,
77, BFS,86,15, passed,,,,,,
78, BFS,86,15, passed,,,,,,
79, BFS,86,15, passed,,,,,,
80, BFS,86,15, passed,,,,,,
81, BFS,86,15, passed,,,,,,
82, BFS,63,13, passed,,,,,,
83, BFS,63,13, passed,,,,,,
84, BFS,63,13, passed,,,,,,
85, BFS,63,13, passed,,,,,,
86, BFS,63,13, passed,,,,,,
87, BFS,63,13, passed,,,,,,
88, BFS,63,13, passed,,,,,,
89, BFS,63,13, passed,,,,,,
90, BFS,63,13, passed,,,,,,
91, BFS,63,13, passed,,,,,,
92, BFS,63,13, passed,,,,,,
93, BFS,63,13, passed,,,,,,
94, BFS,63,13, passed,,,,,,
95, BFS,63,13, passed,,,,,,
96, BFS,63,13, passed,,,,,,
97, BFS,63,13, passed,,,,,,
98, BFS,63,13, passed,,,,,,
99, BFS,63,13, passed,,,,,,
100, BFS,63,13, passed,,,,,,
1, BI-DIR,6,0, passed,,,,,,
2, BI-DIR,6,0, passed,,,,,,
3, BI-DIR,6,0, passed,,,,,,
4, BI-DIR,6,0, passed,,,,,,
5, BI-DIR,6,0, passed,,,,,,
6, BI-DIR,6,0, passed,,,,,,
7, BI-DIR,6,0, passed,,,,,,
8, BI-DIR,6,0, passed,,,,,,
9, BI-DIR,6,0, passed,,,,,,
10, BI-DIR,6,0, passed,,,,,,
11, BI-DIR,6,0, passed,,,,,,
12, BI-DIR,6,0, passed,,,,,,
13, BI-DIR,6,0, passed,,,,,,
14, BI-DIR,6,0, passed,,,,,,
15, BI-DIR,6,0, passed,,,,,,
16, BI-DIR,6,0, passed,,,,,,
17, BI-DIR,6,0, passed,,,,,,
18, BI-DIR,6,0, passed,,,,,,
19, BI-DIR,6,0, passed,,,,,,
20, BI-DIR,6,0, passed,,,,,,
21, BI-DIR,6,0, passed,,,,,,
22, BI-DIR,10,0, passed,,,,,,
23, BI-DIR,10,0, passed,,,,,,
24, BI-DIR,10,0, passed,,,,,,
25, BI-DIR,10,0, passed,,,,,,
26, BI-DIR,10,0, passed,,,,,,
27, BI-DIR,10,0, passed,,,,,,
28, BI-DIR,10,0, passed,,,,,,
29, BI-DIR,10,0, passed,,,,,,
30, BI-DIR,10,0, passed,,,,,,
31, BI-DIR,10,0, passed,,,,,,
32, BI-DIR,10,0, passed,,,,,,
33, BI-DIR,10,0, passed,,,,,,
34, BI-DIR,10,0, passed,,,,,,
35, BI-DIR,10,0, passed,,,,,,
36, BI-DIR,10,0, passed,,,,,,
37, BI-DIR,10,0, passed,,,,,,
38, BI-DIR,10,0, passed,,,,,,
39, BI-DIR,10,0, passed,,,,,,
40, BI-DIR,10,0, passed,,,,,,
41, BI-DIR,10,0, passed,,,,,,
42, BI-DIR,10,0, passed,,,,,,
43, BI-DIR,10,0, passed,,,,,,
44, BI-DIR,10,0, passed,,,,,,
45, BI-DIR,10,0, passed,,,,,,
46, BI-DIR,10,0, passed,,,,,,
47, BI-DIR,10,0, passed,,,,,,
48, BI-DIR,10,0, passed,,,,,,
49, BI-DIR,10,0, passed,,,,,,
50, BI-DIR,10,0, passed,,,,,,
51, BI-DIR,10,0, passed,,,,,,
52, BI-DIR,10,0, passed,,,,,,
53, BI-DIR,10,0, passed,,,,,,
54, BI-DIR,10,0, passed,,,,,,
55, BI-DIR,10,0, passed,,,,,,
56, BI-DIR,10,0, passed,,,,,,
57, BI-DIR,10,0, passed,,,,,,
58, BI-DIR,10,0, passed,,,,,,
59, BI-DIR,10,0, passed,,,,,,
60, BI-DIR,10,0, passed,,,,,,
61, BI-DIR,10,0, passed,,,,,,
62, BI-DIR,6,0, passed,,,,,,
63, BI-DIR,6,0, passed,,,,,,
64, BI-DIR,6,0, passed,,,,,,
65, BI-DIR,6,0, passed,,,,,,
66, BI-DIR,6,0, passed,,,,,,
67, BI-DIR,6,0, passed,,,,,,
68, BI-DIR,6,0, passed,,,,,,
69, BI-DIR,6,0, passed,,,,,,
70, BI-DIR,6,0, passed,,,,,,
71, BI-DIR,6,0, passed,,,,,,
72, BI-DIR,6,0, passed,,,,,,
73, BI-DIR,6,0, passed,,,,,,
74, BI-DIR,6,0, passed,,,,,,
75, BI-DIR,6,0, passed,,,,,,
76, BI-DIR,6,0, passed,,,,,,
77, BI-DIR,6,0, passed,,,,,,
78, BI-DIR,6,0, passed,,,,,,
79, BI-DIR,6,0, passed,,,,,,
80, BI-DIR,6,0, passed,,,,,,
81, BI-DIR,6,0, passed,,,,,,
82, BI-DIR,7,0, passed,,,,,,
83, BI-DIR,7,0, passed,,,,,,
84, BI-DIR,7,0, passed,,,,,,
85, BI-DIR,7,0, passed,,,,,,
86, BI-DIR,7,0, passed,,,,,,
87, BI-DIR,7,0, passed,,,,,,
88, BI-DIR,7,0, passed,,,,,,
89, BI-DIR,7,0, passed,,,,,,
90, BI-DIR,7,0, passed,,,,,,
91, BI-DIR,7,0, passed,,,,,,
92, BI-DIR,7,0, passed,,,,,,
93, BI-DIR,7,0, passed,,,,,,
94, BI-DIR,7,0, passed,,,,,,
95, BI-DIR,7,0, passed,,,,,,
96, BI-DIR,7,0, passed,,,,,,
97, BI-DIR,7,0, passed,,,,,,
98, BI-DIR,7,0, passed,,,,,,
99, BI-DIR,7,0, passed,,,,,,
100, BI-DIR,7,0, passed,,,,,,
1, DFS,17,17, passed,,,,,,
2, DFS,17,17, passed,,,,,,
3, DFS,17,17, passed,,,,,,
4, DFS,17,17, passed,,,,,,
5, DFS,17,17, passed,,,,,,
6, DFS,17,17, passed,,,,,,
7, DFS,17,17, passed,,,,,,
8, DFS,17,17, passed,,,,,,
9, DFS,17,17, passed,,,,,,
10, DFS,17,17, passed,,,,,,
11, DFS,17,17, passed,,,,,,
12, DFS,17,17, passed,,,,,,
13, DFS,17,17, passed,,,,,,
14, DFS,17,17, passed,,,,,,
15, DFS,17,17, passed,,,,,,
16, DFS,17,17, passed,,,,,,
17, DFS,17,17, passed,,,,,,
18, DFS,17,17, passed,,,,,,
19, DFS,17,17, passed,,,,,,
20, DFS,17,17, passed,,,,,,
21, DFS,17,17, passed,,,,,,
22, DFS,19,19, passed,,,,,,
23, DFS,19,19, passed,,,,,,
24, DFS,19,19, passed,,,,,,
25, DFS,19,19, passed,,,,,,
26, DFS,19,19, passed,,,,,,
27, DFS,19,19, passed,,,,,,
28, DFS,19,19, passed,,,,,,
29, DFS,19,19, passed,,,,,,
30, DFS,19,19, passed,,,,,,
31, DFS,19,19, passed,,,,,,
32, DFS,19,19, passed,,,,,,
33, DFS,19,19, passed,,,,,,
34, DFS,19,19, passed,,,,,,
35, DFS,19,19, passed,,,,,,
36, DFS,19,19, passed,,,,,,
37, DFS,19,19, passed,,,,,,
38, DFS,19,19, passed,,,,,,
39, DFS,19,19, passed,,,,,,
40, DFS,19,19, passed,,,,,,
41, DFS,19,19, passed,,,,,,
42, DFS,29,29, passed,,,,,,
43, DFS,29,29, passed,,,,,,
44, DFS,29,29, passed,,,,,,
45, DFS,29,29, passed,,,,,,
46, DFS,29,29, passed,,,,,,
47, DFS,29,29, passed,,,,,,
48, DFS,29,29, passed,,,,,,
49, DFS,29,29, passed,,,,,,
50, DFS,29,29, passed,,,,,,
51, DFS,29,29, passed,,,,,,
52, DFS,29,29, passed,,,,,,
53, DFS,37,37, passed,,,,,,
54, DFS,37,37, passed,,,,,,
55, DFS,37,37, passed,,,,,,
56, DFS,37,37, passed,,,,,,
57, DFS,37,37, passed,,,,,,
58, DFS,37,37, passed,,,,,,
59, DFS,37,37, passed,,,,,,
60, DFS,37,37, passed,,,,,,
61, DFS,37,37, passed,,,,,,
62, DFS,17,17, passed,,,,,,
63, DFS,17,17, passed,,,,,,
64, DFS,17,17, passed,,,,,,
65, DFS,17,17, passed,,,,,,
66, DFS,17,17, passed,,,,,,
67, DFS,17,17, passed,,,,,,
68, DFS,17,17, passed,,,,,,
69, DFS,17,17, passed,,,,,,
70, DFS,17,17, passed,,,,,,
71, DFS,17,17, passed,,,,,,
72, DFS,17,17, passed,,,,,,
73, DFS,17,17, passed,,,,,,
74, DFS,17,17, passed,,,,,,
75, DFS,17,17, passed,,,,,,
76, DFS,17,17, passed,,,,,,
77, DFS,17,17, passed,,,,,,
78, DFS,17,17, passed,,,,,,
79, DFS,17,17, passed,,,,,,
80, DFS,17,17, passed,,,,,,
81, DFS,17,17, passed,,,,,,
82, DFS,15,15, passed,,,,,,
83, DFS,15,15, passed,,,,,,
84, DFS,15,15, passed,,,,,,
85, DFS,15,15, passed,,,,,,
86, DFS,15,15, passed,,,,,,
87, DFS,15,15, passed,,,,,,
88, DFS,15,15, passed,,,,,,
89, DFS,15,15, passed,,,,,,
90, DFS,15,15, passed,,,,,,
91, DFS,15,15, passed,,,,,,
92, DFS,15,15, passed,,,,,,
93, DFS,15,15, passed,,,,,,
94, DFS,15,15, passed,,,,,,
95, DFS,15,15, passed,,,,,,
96, DFS,15,15, passed,,,,,,
97, DFS,15,15, passed,,,,,,
98, DFS,15,15, passed,,,,,,
99, DFS,15,15, passed,,,,,,
100, DFS,15,15, passed,,,,,,
1, Greedy,7,7, passed,,,,,,
2, Greedy,7,7, passed,,,,,,
3, Greedy,7,7, passed,,,,,,
4, Greedy,7,7, passed,,,,,,
5, Greedy,7,7, passed,,,,,,
6, Greedy,7,7, passed,,,,,,
7, Greedy,7,7, passed,,,,,,
8, Greedy,7,7, passed,,,,,,
9, Greedy,7,7, passed,,,,,,
10, Greedy,7,7, passed,,,,,,
11, Greedy,7,7, passed,,,,,,
12, Greedy,7,7, passed,,,,,,
13, Greedy,7,7, passed,,,,,,
14, Greedy,7,7, passed,,,,,,
15, Greedy,7,7, passed,,,,,,
16, Greedy,7,7, passed,,,,,,
17, Greedy,7,7, passed,,,,,,
18, Greedy,7,7, passed,,,,,,
19, Greedy,7,7, passed,,,,,,
20, Greedy,7,7, passed,,,,,,
21, Greedy,7,7, passed,,,,,,
22, Greedy,7,7, passed,,,,,,
23, Greedy,7,7, passed,,,,,,
24, Greedy,7,7, passed,,,,,,
25, Greedy,7,7, passed,,,,,,
26, Greedy,7,7, passed,,,,,,
27, Greedy,7,7, passed,,,,,,
28, Greedy,7,7, passed,,,,,,
29, Greedy,7,7, passed,,,,,,
30, Greedy,7,7, passed,,,,,,
31, Greedy,7,7, passed,,,,,,
32, Greedy,7,7, passed,,,,,,
33, Greedy,7,7, passed,,,,,,
34, Greedy,7,7, passed,,,,,,
35, Greedy,7,7, passed,,,,,,
36, Greedy,7,7, passed,,,,,,
37, Greedy,7,7, passed,,,,,,
38, Greedy,7,7, passed,,,,,,
39, Greedy,7,7, passed,,,,,,
40, Greedy,7,7, passed,,,,,,
41, Greedy,7,7, passed,,,,,,
42, Greedy,27,27, passed,,,,,,
43, Greedy,27,27, passed,,,,,,
44, Greedy,27,27, passed,,,,,,
45, Greedy,27,27, passed,,,,,,
46, Greedy,27,27, passed,,,,,,
47, Greedy,27,27, passed,,,,,,
48, Greedy,27,27, passed,,,,,,
49, Greedy,27,27, passed,,,,,,
50, Greedy,27,27, passed,,,,,,
51, Greedy,27,27, passed,,,,,,
52, Greedy,27,27, passed,,,,,,
53, Greedy,27,27, passed,,,,,,
54, Greedy,27,27, passed,,,,,,
55, Greedy,27,27, passed,,,,,,
56, Greedy,27,27, passed,,,,,,
57, Greedy,27,27, passed,,,,,,
58, Greedy,27,27, passed,,,,,,
59, Greedy,27,27, passed,,,,,,
60, Greedy,27,27, passed,,,,,,
61, Greedy,27,27, passed,,,,,,
62, Greedy,15,15, passed,,,,,,
63, Greedy,15,15, passed,,,,,,
64, Greedy,15,15, passed,,,,,,
65, Greedy,15,15, passed,,,,,,
