Test, Algo, Pass, NodesExp, Shortest 
72, MBAstar, passed, 41, 0
71, Astar, passed, 75, 14
71, Greedy, passed, 15, 14
71, BFS, passed, 96, 14
71, DFS, passed, 14, 14
71, BI-DIR, passed, 10, 0
71, MBAstar, passed, 41, 0
70, Astar, passed, 75, 14
70, Greedy, passed, 15, 14
70, BFS, passed, 96, 14
70, DFS, passed, 14, 14
70, BI-DIR, passed, 10, 0
70, MBAstar, passed, 41, 0
69, Astar, passed, 75, 14
69, Greedy, passed, 15, 14
69, BFS, passed, 96, 14
69, DFS, passed, 14, 14
69, BI-DIR, passed, 10, 0
69, MBAstar, passed, 41, 0
68, Astar, passed, 75, 14
68, Greedy, passed, 15, 14
68, BFS, passed, 96, 14
68, DFS, passed, 14, 14
68, BI-DIR, passed, 10, 0
68, MBAstar, passed, 41, 0
67, Astar, passed, 75, 14
67, Greedy, passed, 15, 14
67, BFS, passed, 96, 14
67, DFS, passed, 14, 14
67, BI-DIR, passed, 10, 0
67, MBAstar, passed, 41, 0
66, Astar, passed, 75, 14
66, Greedy, passed, 15, 14
66, BFS, passed, 96, 14
66, DFS, passed, 14, 14
66, BI-DIR, passed, 10, 0
66, MBAstar, passed, 41, 0
65, Astar, passed, 75, 14
65, Greedy, passed, 15, 14
65, BFS, passed, 96, 14
65, DFS, passed, 14, 14
65, BI-DIR, passed, 10, 0
65, MBAstar, passed, 41, 0
64, Astar, passed, 75, 14
64, Greedy, passed, 15, 14
64, BFS, passed, 96, 14
64, DFS, passed, 14, 14
64, BI-DIR, passed, 10, 0
64, MBAstar, passed, 41, 0
63, Astar, passed, 75, 14
63, Greedy, passed, 15, 14
63, BFS, passed, 96, 14
63, DFS, passed, 14, 14
63, BI-DIR, passed, 10, 0
63, MBAstar, passed, 41, 0
62, Astar, passed, 75, 14
62, Greedy, passed, 15, 14
62, BFS, passed, 96, 14
62, DFS, passed, 14, 14
62, BI-DIR, passed, 10, 0
62, MBAstar, passed, 41, 0
61, Astar, passed, 217, 28
61, Greedy, passed, 28, 28
61, BFS, passed, 287, 28
61, DFS, passed, 28, 28
61, BI-DIR, passed, 7, 0
61, MBAstar, failed, 61, 0
60, Astar, passed, 217, 28
60, Greedy, passed, 28, 28
