Test, Algo, Pass, NodesExp, Shortest 
63, MBAstar, passed,37,0
62, Astar, passed,79,15
62, Greedy, passed,15,15
62, BFS, passed,86,15
62, DFS, passed,17,17
62, BI-DIR, passed,6,0
62, MBAstar, passed,37,0
61, Astar, passed,146,27
61, Greedy, passed,27,27
61, BFS, passed,166,27
61, DFS, passed,37,37
61, BI-DIR, passed,10,0
61, MBAstar, failed,56,0
60, Astar, passed,146,27
60, Greedy, passed,27,27
60, BFS, passed,166,27
60, DFS, passed,37,37
60, BI-DIR, passed,10,0
60, MBAstar, failed,56,0
59, Astar, passed,146,27
59, Greedy, passed,27,27
59, BFS, passed,166,27
59, DFS, passed,37,37
59, BI-DIR, passed,10,0
59, MBAstar, failed,56,0
58, Astar, passed,146,27
58, Greedy, passed,27,27
58, BFS, passed,166,27
58, DFS, passed,37,37
58, BI-DIR, passed,10,0
58, MBAstar, failed,56,0
57, Astar, passed,146,27
57, Greedy, passed,27,27
57, BFS, passed,166,27
57, DFS, passed,37,37
57, BI-DIR, passed,10,0
57, MBAstar, failed,56,0
56, Astar, passed,146,27
56, Greedy, passed,27,27
56, BFS, passed,166,27
56, DFS, passed,37,37
56, BI-DIR, passed,10,0
56, MBAstar, failed,56,0
55, Astar, passed,146,27
55, Greedy, passed,27,27
55, BFS, passed,166,27
55, DFS, passed,37,37
55, BI-DIR, passed,10,0
55, MBAstar, failed,56,0
54, Astar, passed,146,27
54, Greedy, passed,27,27
54, BFS, passed,166,27
54, DFS, passed,37,37
54, BI-DIR, passed,10,0
54, MBAstar, failed,56,0
53, Astar, passed,146,27
53, Greedy, passed,27,27
53, BFS, passed,166,27
53, DFS, passed,37,37
53, BI-DIR, passed,10,0
53, MBAstar, failed,56,0
52, Astar, passed,202,27
52, Greedy, passed,27,27
52, BFS, passed,279,27
52, DFS, passed,29,29
52, BI-DIR, passed,10,0
52, MBAstar, failed,64,0
51, Astar, passed,202,27
51, Greedy, passed,27,27
51, BFS, passed,279,27
51, DFS, passed,29,29
51, BI-DIR, passed,10,0
51, MBAstar, failed,64,0
50, Astar, passed,202,27
50, Greedy, passed,27,27
50, BFS, passed,279,27
50, DFS, passed,29,29
50, BI-DIR, passed,10,0
50, MBAstar, failed,64,0
49, Astar, passed,202,27
49, Greedy, passed,27,27
49, BFS, passed,279,27
49, DFS, passed,29,29
49, BI-DIR, passed,10,0
49, MBAstar, failed,64,0
48, Astar, passed,202,27
48, Greedy, passed,27,27
48, BFS, passed,279,27
48, DFS, passed,29,29
48, BI-DIR, passed,10,0
48, MBAstar, failed,64,0
47, Astar, passed,202,27
47, Greedy, passed,27,27
47, BFS, passed,279,27
47, DFS, passed,29,29
47, BI-DIR, passed,10,0
47, MBAstar, failed,64,0
46, Astar, passed,202,27
46, Greedy, passed,27,27
46, BFS, passed,279,27
46, DFS, passed,29,29
46, BI-DIR, passed,10,0
46, MBAstar, failed,64,0
45, Astar, passed,202,27
45, Greedy, passed,27,27
45, BFS, passed,279,27
45, DFS, passed,29,29
45, BI-DIR, passed,10,0
45, MBAstar, failed,64,0
44, Astar, passed,202,27
44, Greedy, passed,27,27
44, BFS, passed,279,27
44, DFS, passed,29,29
44, BI-DIR, passed,10,0
44, MBAstar, failed,64,0
43, Astar, passed,202,27
43, Greedy, passed,27,27
43, BFS, passed,279,27
43, DFS, passed,29,29
43, BI-DIR, passed,10,0
43, MBAstar, failed,64,0
42, Astar, passed,202,27
42, Greedy, passed,27,27
42, BFS, passed,279,27
42, DFS, passed,29,29
42, BI-DIR, passed,10,0
42, MBAstar, failed,64,0
41, Astar, passed,34,7
41, Greedy, passed,7,7
41, BFS, passed,44,7
41, DFS, passed,19,19
41, BI-DIR, passed,10,0
41, MBAstar, passed,25,0
40, Astar, passed,34,7
40, Greedy, passed,7,7
40, BFS, passed,44,7
40, DFS, passed,19,19
40, BI-DIR, passed,10,0
40, MBAstar, passed,25,0
39, Astar, passed,34,7
39, Greedy, passed,7,7
39, BFS, passed,44,7
39, DFS, passed,19,19
39, BI-DIR, passed,10,0
39, MBAstar, passed,25,0
38, Astar, passed,34,7
38, Greedy, passed,7,7
38, BFS, passed,44,7
38, DFS, passed,19,19
38, BI-DIR, passed,10,0
38, MBAstar, passed,25,0
37, Astar, passed,34,7
37, Greedy, passed,7,7
37, BFS, passed,44,7
37, DFS, passed,19,19
37, BI-DIR, passed,10,0
37, MBAstar, passed,25,0
36, Astar, passed,34,7
36, Greedy, passed,7,7
36, BFS, passed,44,7
36, DFS, passed,19,19
36, BI-DIR, passed,10,0
36, MBAstar, passed,25,0
35, Astar, passed,34,7
35, Greedy, passed,7,7
35, BFS, passed,44,7
35, DFS, passed,19,19
35, BI-DIR, passed,10,0
35, MBAstar, passed,25,0
34, Astar, passed,34,7
34, Greedy, passed,7,7
34, BFS, passed,44,7
34, DFS, passed,19,19
34, BI-DIR, passed,10,0
34, MBAstar, passed,25,0
33, Astar, passed,34,7
33, Greedy, passed,7,7
33, BFS, passed,44,7
33, DFS, passed,19,19
33, BI-DIR, passed,10,0
33, MBAstar, passed,25,0
32, Astar, passed,34,7
32, Greedy, passed,7,7
32, BFS, passed,44,7
32, DFS, passed,19,19
32, BI-DIR, passed,10,0
32, MBAstar, passed,25,0
31, Astar, passed,34,7
31, Greedy, passed,7,7
31, BFS, passed,44,7
31, DFS, passed,19,19
31, BI-DIR, passed,10,0
31, MBAstar, passed,25,0
30, Astar, passed,34,7
30, Greedy, passed,7,7
30, BFS, passed,44,7
30, DFS, passed,19,19
30, BI-DIR, passed,10,0
30, MBAstar, passed,25,0
29, Astar, passed,34,7
29, Greedy, passed,7,7
29, BFS, passed,44,7
29, DFS, passed,19,19
29, BI-DIR, passed,10,0
29, MBAstar, passed,25,0
28, Astar, passed,34,7
28, Greedy, passed,7,7
28, BFS, passed,44,7
28, DFS, passed,19,19
28, BI-DIR, passed,10,0
28, MBAstar, passed,25,0
27, Astar, passed,34,7
27, Greedy, passed,7,7
27, BFS, passed,44,7
27, DFS, passed,19,19
27, BI-DIR, passed,10,0
27, MBAstar, passed,25,0
26, Astar, passed,34,7
26, Greedy, passed,7,7
26, BFS, passed,44,7
26, DFS, passed,19,19
26, BI-DIR, passed,10,0
26, MBAstar, passed,25,0
25, Astar, passed,34,7
25, Greedy, passed,7,7
25, BFS, passed,44,7
25, DFS, passed,19,19
25, BI-DIR, passed,10,0
25, MBAstar, passed,25,0
24, Astar, passed,34,7
24, Greedy, passed,7,7
24, BFS, passed,44,7
24, DFS, passed,19,19
24, BI-DIR, passed,10,0
24, MBAstar, passed,25,0
23, Astar, passed,34,7
23, Greedy, passed,7,7
23, BFS, passed,44,7
23, DFS, passed,19,19
23, BI-DIR, passed,10,0
23, MBAstar, passed,25,0
22, Astar, passed,34,7
22, Greedy, passed,7,7
22, BFS, passed,44,7
22, DFS, passed,19,19
22, BI-DIR, passed,10,0
22, MBAstar, passed,25,0
21, Astar, passed,40,7
21, Greedy, passed,7,7
21, BFS, passed,45,7
21, DFS, passed,17,17
21, BI-DIR, passed,6,0
21, MBAstar, passed,26,0
20, Astar, passed,40,7
20, Greedy, passed,7,7
20, BFS, passed,45,7
20, DFS, passed,17,17
20, BI-DIR, passed,6,0
20, MBAstar, passed,26,0
19, Astar, passed,40,7
19, Greedy, passed,7,7
19, BFS, passed,45,7
19, DFS, passed,17,17
19, BI-DIR, passed,6,0
19, MBAstar, passed,26,0
18, Astar, passed,40,7
18, Greedy, passed,7,7
18, BFS, passed,45,7
18, DFS, passed,17,17
18, BI-DIR, passed,6,0
18, MBAstar, passed,26,0
17, Astar, passed,40,7
17, Greedy, passed,7,7
17, BFS, passed,45,7
17, DFS, passed,17,17
17, BI-DIR, passed,6,0
17, MBAstar, passed,26,0
16, Astar, passed,40,7
16, Greedy, passed,7,7
16, BFS, passed,45,7
16, DFS, passed,17,17
16, BI-DIR, passed,6,0
16, MBAstar, passed,26,0
15, Astar, passed,40,7
15, Greedy, passed,7,7
15, BFS, passed,45,7
15, DFS, passed,17,17
15, BI-DIR, passed,6,0
15, MBAstar, passed,26,0
14, Astar, passed,40,7
14, Greedy, passed,7,7
14, BFS, passed,45,7
14, DFS, passed,17,17
14, BI-DIR, passed,6,0
14, MBAstar, passed,26,0
13, Astar, passed,40,7
13, Greedy, passed,7,7
13, BFS, passed,45,7
13, DFS, passed,17,17
13, BI-DIR, passed,6,0
13, MBAstar, passed,26,0
12, Astar, passed,40,7
12, Greedy, passed,7,7
12, BFS, passed,45,7
12, DFS, passed,17,17
12, BI-DIR, passed,6,0
12, MBAstar, passed,26,0
11, Astar, passed,40,7
11, Greedy, passed,7,7
11, BFS, passed,45,7
11, DFS, passed,17,17
11, BI-DIR, passed,6,0
11, MBAstar, passed,26,0
10, Astar, passed,40,7
10, Greedy, passed,7,7
10, BFS, passed,45,7
10, DFS, passed,17,17
10, BI-DIR, passed,6,0
10, MBAstar, passed,26,0
9, Astar, passed,40,7
9, Greedy, passed,7,7
9, BFS, passed,45,7
9, DFS, passed,17,17
9, BI-DIR, passed,6,0
9, MBAstar, passed,26,0
8, Astar, passed,40,7
8, Greedy, passed,7,7
8, BFS, passed,45,7
8, DFS, passed,17,17
8, BI-DIR, passed,6,0
8, MBAstar, passed,26,0
7, Astar, passed,40,7
7, Greedy, passed,7,7
7, BFS, passed,45,7
7, DFS, passed,17,17
7, BI-DIR, passed,6,0
7, MBAstar, passed,26,0
6, Astar, passed,40,7
6, Greedy, passed,7,7
6, BFS, passed,45,7
6, DFS, passed,17,17
6, BI-DIR, passed,6,0
6, MBAstar, passed,26,0
5, Astar, passed,40,7
5, Greedy, passed,7,7
5, BFS, passed,45,7
5, DFS, passed,17,17
5, BI-DIR, passed,6,0
5, MBAstar, passed,26,0
4, Astar, passed,40,7
4, Greedy, passed,7,7
4, BFS, passed,45,7
4, DFS, passed,17,17
4, BI-DIR, passed,6,0
4, MBAstar, passed,26,0
3, Astar, passed,40,7
3, Greedy, passed,7,7
3, BFS, passed,45,7
3, DFS, passed,17,17
3, BI-DIR, passed,6,0
3, MBAstar, passed,26,0
2, Astar, passed,40,7
2, Greedy, passed,7,7
2, BFS, passed,45,7
2, DFS, passed,17,17
2, BI-DIR, passed,6,0
2, MBAstar, passed,26,0
1, Astar, passed,40,7
1, Greedy, passed,7,7
1, BFS, passed,45,7
1, DFS, passed,17,17
1, BI-DIR, passed,6,0
1, MBAstar, passed,26,0
